"PROKKA","GENE","ko","A","B","C","D","D_shorthand"
"PROKKA_02437___206403_1","group_15516","K02406","Organismal Systems"," Immune system","  04621 NOD-like receptor signaling pathway [PATH:ko04621]","flagellin","fliC"
"PROKKA_02437___206403_1","group_15516","K02406","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","flagellin","fliC"
"PROKKA_02437___206403_1","group_15516","K02406","Human Diseases"," Infectious diseases","  05132 Salmonella infection [PATH:ko05132]","flagellin","fliC"
"PROKKA_02437___206403_1","group_15516","K02406","Human Diseases"," Infectious diseases","  05134 Legionellosis [PATH:ko05134]","flagellin","fliC"
"PROKKA_02437___206403_1","group_15516","K02406","Organismal Systems"," Environmental adaptation","  04626 Plant-pathogen interaction [PATH:ko04626]","flagellin","fliC"
"PROKKA_02437___206403_1","group_15516","K02406","Cellular Processes"," Cell motility","  02040 Flagellar assembly [PATH:ko02040]","flagellin","fliC"
"PROKKA_02437___214300_1","group_12766","K02015","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","iron complex transport system permease protein","ABC.FEV.P"
"PROKKA_02437___349392_1","group_13560","K03179","Metabolism"," Metabolism of cofactors and vitamins","  00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]","4-hydroxybenzoate polyprenyltransferase","ubiA"
"PROKKA_02437___373215_1","group_28303","K00677","Metabolism"," Glycan biosynthesis and metabolism","  00540 Lipopolysaccharide biosynthesis [PATH:ko00540]","UDP-N-acetylglucosamine acyltransferase","lpxA"
"PROKKA_02437___373215_1","group_28303","K00677","Human Diseases"," Drug resistance","  01503 Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]","UDP-N-acetylglucosamine acyltransferase","lpxA"
"PROKKA_02437___373215_1","group_28303","K00677","Human Diseases"," Drug resistance","  01524 Platinum drug resistance [PATH:ko01524]","UDP-N-acetylglucosamine acyltransferase","lpxA"
"PROKKA_02438___214302_1","group_5256","K02013","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","iron complex transport system ATP-binding protein","ABC.FEV.A"
"PROKKA_02438___373217_1","group_12385","K03544","Cellular Processes"," Cell growth and death","  04112 Cell cycle - Caulobacter [PATH:ko04112]","ATP-dependent Clp protease ATP-binding subunit ClpX","clpX, CLPX"
"PROKKA_02439___206407_1","group_3251","K15898","Metabolism"," Carbohydrate metabolism","  00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","pseudaminic acid synthase","pseI, neuB3"
"PROKKA_02439___214304_1","group_1176","K03655","Genetic Information Processing"," Replication and repair","  03440 Homologous recombination [PATH:ko03440]","ATP-dependent DNA helicase RecG","recG"
"PROKKA_02440___349398_1","group_15781","K03639","Genetic Information Processing"," Folding, sorting and degradation","  04122 Sulfur relay system [PATH:ko04122]","GTP 3',8-cyclase","moaA, CNX2"
"PROKKA_02440___349398_1","group_15781","K03639","Metabolism"," Metabolism of cofactors and vitamins","  00790 Folate biosynthesis [PATH:ko00790]","GTP 3',8-cyclase","moaA, CNX2"
"PROKKA_02440___357098_1","metK_2","K00789","Metabolism"," Amino acid metabolism","  00270 Cysteine and methionine metabolism [PATH:ko00270]","S-adenosylmethionine synthetase","metK"
"PROKKA_02440___357098_1","metK_2","K00789","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","S-adenosylmethionine synthetase","metK"
"PROKKA_02441___142988_1","group_21031","K02990","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","small subunit ribosomal protein S6","RP-S6, MRPS6, rpsF"
"PROKKA_02441___214308_1","group_28296","K11784","Metabolism"," Metabolism of cofactors and vitamins","  00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]","cyclic dehypoxanthinyl futalosine synthase","mqnC"
"PROKKA_02441___349400_1","group_1702","K10026","Metabolism"," Metabolism of cofactors and vitamins","  00790 Folate biosynthesis [PATH:ko00790]","7-carboxy-7-deazaguanine synthase","queE"
"PROKKA_02441___373223_1","group_3263","K01955","Metabolism"," Amino acid metabolism","  00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","carbamoyl-phosphate synthase large subunit","carB, CPA2"
"PROKKA_02441___373223_1","group_3263","K01955","Metabolism"," Nucleotide metabolism","  00240 Pyrimidine metabolism [PATH:ko00240]","carbamoyl-phosphate synthase large subunit","carB, CPA2"
"PROKKA_02442___142990_1","priB","K02686","Genetic Information Processing"," Replication and repair","  03440 Homologous recombination [PATH:ko03440]","primosomal replication protein N","priB"
"PROKKA_02442___349402_1","group_4325","K01737","Metabolism"," Metabolism of cofactors and vitamins","  00790 Folate biosynthesis [PATH:ko00790]","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase","queD, ptpS, PTS"
"PROKKA_02442___357102_1","group_7511","K03210","Genetic Information Processing"," Folding, sorting and degradation","  03060 Protein export [PATH:ko03060]","preprotein translocase subunit YajC","yajC"
"PROKKA_02442___357102_1","group_7511","K03210","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","preprotein translocase subunit YajC","yajC"
"PROKKA_02442___357102_1","group_7511","K03210","Environmental Information Processing"," Membrane transport","  03070 Bacterial secretion system [PATH:ko03070]","preprotein translocase subunit YajC","yajC"
"PROKKA_02443___142992_1","group_21033","K02963","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","small subunit ribosomal protein S18","RP-S18, MRPS18, rpsR"
"PROKKA_02443___357104_1","group_12135","K03072","Environmental Information Processing"," Membrane transport","  03070 Bacterial secretion system [PATH:ko03070]","preprotein translocase subunit SecD","secD"
"PROKKA_02443___357104_1","group_12135","K03072","Genetic Information Processing"," Folding, sorting and degradation","  03060 Protein export [PATH:ko03060]","preprotein translocase subunit SecD","secD"
"PROKKA_02443___373227_1","group_13701","K01951","Genetic Information Processing"," Transcription","  03020 RNA polymerase [PATH:ko03020]","GMP synthase (glutamine-hydrolysing)","guaA, GMPS"
"PROKKA_02443___373227_1","group_13701","K01951","Genetic Information Processing"," Xenobiotics biodegradation and metabolism","  00983 Drug metabolism - other enzymes [PATH:ko00983]","GMP synthase (glutamine-hydrolysing)","guaA, GMPS"
"PROKKA_02443___373227_1","group_13701","K01951","Metabolism"," Xenobiotics biodegradation and metabolism","  00983 Drug metabolism - other enzymes [PATH:ko00983]","GMP synthase (glutamine-hydrolysing)","guaA, GMPS"
"PROKKA_02443___373227_1","group_13701","K01951","Genetic Information Processing"," Transcription","  00983 Drug metabolism - other enzymes [PATH:ko00983]","GMP synthase (glutamine-hydrolysing)","guaA, GMPS"
"PROKKA_02443___373227_1","group_13701","K01951","Metabolism"," Xenobiotics biodegradation and metabolism","  00983 Drug metabolism - other enzymes [PATH:ko00983]","GMP synthase (glutamine-hydrolysing)","guaA, GMPS"
"PROKKA_02443___373227_1","group_13701","K01951","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","GMP synthase (glutamine-hydrolysing)","guaA, GMPS"
"PROKKA_02444___142994_1","group_21034","K02939","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L9","RP-L9, MRPL9, rplI"
"PROKKA_02444___206417_1","group_10079","K15894","Metabolism"," Carbohydrate metabolism","  00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","UDP-N-acetylglucosamine 4,6-dehydratase","pseB"
"PROKKA_02444___357106_1","group_3959","K03074","Genetic Information Processing"," Folding, sorting and degradation","  03060 Protein export [PATH:ko03060]","preprotein translocase subunit SecF","secF"
"PROKKA_02444___357106_1","group_3959","K03074","Environmental Information Processing"," Membrane transport","  03070 Bacterial secretion system [PATH:ko03070]","preprotein translocase subunit SecF","secF"
"PROKKA_02445___142996_1","group_21035","K02314","Cellular Processes"," Cell growth and death","  04112 Cell cycle - Caulobacter [PATH:ko04112]","replicative DNA helicase","dnaB"
"PROKKA_02445___142996_1","group_21035","K02314","Genetic Information Processing"," Replication and repair","  03030 DNA replication [PATH:ko03030]","replicative DNA helicase","dnaB"
"PROKKA_02445___206419_1","group_28280","K01494","Metabolism"," Nucleotide metabolism","  00240 Pyrimidine metabolism [PATH:ko00240]","dCTP deaminase","dcd"
"PROKKA_02446___349410_1","group_28290","K02909","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L31","RP-L31, rpmE"
"PROKKA_02446___357110_1","leuS_2","K01869","Genetic Information Processing"," Translation","  00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]","leucyl-tRNA synthetase","LARS, leuS"
"PROKKA_02448___214322_1","cheR_2","K00575","Cellular Processes"," Cell motility","  02030 Bacterial chemotaxis [PATH:ko02030]","chemotaxis protein methyltransferase CheR","cheR"
"PROKKA_02448___214322_1","cheR_2","K00575","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","chemotaxis protein methyltransferase CheR","cheR"
"PROKKA_02449___214324_1","group_16816","K03412","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","two-component system, chemotaxis family, response regulator CheB","cheB"
"PROKKA_02449___214324_1","group_16816","K03412","Cellular Processes"," Cell motility","  02030 Bacterial chemotaxis [PATH:ko02030]","two-component system, chemotaxis family, response regulator CheB","cheB"
"PROKKA_02449___357116_1","group_1223","K11754","Metabolism"," Metabolism of cofactors and vitamins","  00790 Folate biosynthesis [PATH:ko00790]","dihydrofolate synthase / folylpolyglutamate synthase","folC"
"PROKKA_02449___373239_1","group_1339","K01613","Metabolism"," Lipid metabolism","  00564 Glycerophospholipid metabolism [PATH:ko00564]","phosphatidylserine decarboxylase","psd, PISD"
"PROKKA_02449___88056_1","group_19242","K00912","Metabolism"," Glycan biosynthesis and metabolism","  00540 Lipopolysaccharide biosynthesis [PATH:ko00540]","tetraacyldisaccharide 4'-kinase","lpxK"
"PROKKA_02450___143006_1","iscS","K04487","Metabolism"," Metabolism of cofactors and vitamins","  00730 Thiamine metabolism [PATH:ko00730]","cysteine desulfurase","iscS, NFS1"
"PROKKA_02450___143006_1","iscS","K04487","Genetic Information Processing"," Folding, sorting and degradation","  04122 Sulfur relay system [PATH:ko04122]","cysteine desulfurase","iscS, NFS1"
"PROKKA_02450___357118_1","group_6509","K03723","Genetic Information Processing"," Replication and repair","  03420 Nucleotide excision repair [PATH:ko03420]","transcription-repair coupling factor (superfamily II helicase)","mfd"
"PROKKA_02452___349422_1","group_11650","K00003","Metabolism"," Amino acid metabolism","  00300 Lysine biosynthesis [PATH:ko00300]","homoserine dehydrogenase","E1.1.1.3"
"PROKKA_02452___349422_1","group_11650","K00003","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","homoserine dehydrogenase","E1.1.1.3"
"PROKKA_02452___349422_1","group_11650","K00003","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","homoserine dehydrogenase","E1.1.1.3"
"PROKKA_02452___349422_1","group_11650","K00003","Metabolism"," Amino acid metabolism","  00270 Cysteine and methionine metabolism [PATH:ko00270]","homoserine dehydrogenase","E1.1.1.3"
"PROKKA_02453___357124_1","group_10914","K01738","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","cysteine synthase A","cysK"
"PROKKA_02453___357124_1","group_10914","K01738","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","cysteine synthase A","cysK"
"PROKKA_02453___357124_1","group_10914","K01738","Metabolism"," Energy metabolism","  00920 Sulfur metabolism [PATH:ko00920]","cysteine synthase A","cysK"
"PROKKA_02453___357124_1","group_10914","K01738","Metabolism"," Amino acid metabolism","  00270 Cysteine and methionine metabolism [PATH:ko00270]","cysteine synthase A","cysK"
"PROKKA_02454___357126_1","group_9785","K00640","Metabolism"," Energy metabolism","  00920 Sulfur metabolism [PATH:ko00920]","serine O-acetyltransferase","cysE"
"PROKKA_02454___357126_1","group_9785","K00640","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","serine O-acetyltransferase","cysE"
"PROKKA_02454___357126_1","group_9785","K00640","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","serine O-acetyltransferase","cysE"
"PROKKA_02454___357126_1","group_9785","K00640","Metabolism"," Amino acid metabolism","  00270 Cysteine and methionine metabolism [PATH:ko00270]","serine O-acetyltransferase","cysE"
"PROKKA_02454___357126_1","group_9785","K00640","Cellular Processes"," Cellular community - prokaryotes","  05111 Biofilm formation - Vibrio cholerae [PATH:ko05111]","serine O-acetyltransferase","cysE"
"PROKKA_02455___214336_1","hemL_4","K01845","Metabolism"," Metabolism of cofactors and vitamins","  00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]","glutamate-1-semialdehyde 2,1-aminomutase","hemL"
"PROKKA_02455___373251_1","group_10595","K01885","Genetic Information Processing"," Translation","  00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]","glutamyl-tRNA synthetase","EARS, gltX"
"PROKKA_02455___373251_1","group_10595","K01885","Metabolism"," Metabolism of cofactors and vitamins","  00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]","glutamyl-tRNA synthetase","EARS, gltX"
"PROKKA_02456___349430_1","group_13542","K00384","Metabolism"," Metabolism of other amino acids","  00450 Selenocompound metabolism [PATH:ko00450]","thioredoxin reductase (NADPH)","trxB"
"PROKKA_02457___214340_1","group_4817","K01491","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase","folD"
"PROKKA_02457___214340_1","group_4817","K01491","Metabolism"," Energy metabolism","  00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]","methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase","folD"
"PROKKA_02457___214340_1","group_4817","K01491","Metabolism"," Metabolism of cofactors and vitamins","  00670 One carbon pool by folate [PATH:ko00670]","methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase","folD"
"PROKKA_02458___143022_1","ppk_2","K00937","Genetic Information Processing"," Folding, sorting and degradation","  03018 RNA degradation [PATH:ko03018]","polyphosphate kinase","ppk"
"PROKKA_02458___143022_1","ppk_2","K00937","Metabolism"," Energy metabolism","  00190 Oxidative phosphorylation [PATH:ko00190]","polyphosphate kinase","ppk"
"PROKKA_02458___214342_1","group_7089","K03100","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","signal peptidase I","lepB, TPP"
"PROKKA_02458___214342_1","group_7089","K03100","Genetic Information Processing"," Folding, sorting and degradation","  03060 Protein export [PATH:ko03060]","signal peptidase I","lepB, TPP"
"PROKKA_02458___349434_1","group_13537","K00764","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","amidophosphoribosyltransferase","purF, PPAT"
"PROKKA_02458___349434_1","group_13537","K00764","Metabolism"," Amino acid metabolism","  00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","amidophosphoribosyltransferase","purF, PPAT"
"PROKKA_02460___143026_1","group_21050","K00927","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","phosphoglycerate kinase","PGK, pgk"
"PROKKA_02460___143026_1","group_21050","K00927","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","phosphoglycerate kinase","PGK, pgk"
"PROKKA_02460___143026_1","group_21050","K00927","Metabolism"," Energy metabolism","  00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]","phosphoglycerate kinase","PGK, pgk"
"PROKKA_02460___143026_1","group_21050","K00927","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","phosphoglycerate kinase","PGK, pgk"
"PROKKA_02460___357138_1","group_2836","K03271","Metabolism"," Glycan biosynthesis and metabolism","  00540 Lipopolysaccharide biosynthesis [PATH:ko00540]","D-sedoheptulose 7-phosphate isomerase","gmhA, lpcA"
"PROKKA_02460___373261_1","group_5261","K03841","Metabolism"," Carbohydrate metabolism","  00051 Fructose and mannose metabolism [PATH:ko00051]","fructose-1,6-bisphosphatase I","FBP, fbp"
"PROKKA_02460___373261_1","group_5261","K03841","Organismal Systems"," Endocrine system","  04922 Glucagon signaling pathway [PATH:ko04922]","fructose-1,6-bisphosphatase I","FBP, fbp"
"PROKKA_02460___373261_1","group_5261","K03841","Metabolism"," Carbohydrate metabolism","  00030 Pentose phosphate pathway [PATH:ko00030]","fructose-1,6-bisphosphatase I","FBP, fbp"
"PROKKA_02460___373261_1","group_5261","K03841","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","fructose-1,6-bisphosphatase I","FBP, fbp"
"PROKKA_02460___373261_1","group_5261","K03841","Environmental Information Processing"," Signal transduction","  04152 AMPK signaling pathway [PATH:ko04152]","fructose-1,6-bisphosphatase I","FBP, fbp"
"PROKKA_02460___373261_1","group_5261","K03841","Metabolism"," Energy metabolism","  00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]","fructose-1,6-bisphosphatase I","FBP, fbp"
"PROKKA_02460___373261_1","group_5261","K03841","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","fructose-1,6-bisphosphatase I","FBP, fbp"
"PROKKA_02460___373261_1","group_5261","K03841","Metabolism"," Energy metabolism","  00680 Methane metabolism [PATH:ko00680]","fructose-1,6-bisphosphatase I","FBP, fbp"
"PROKKA_02460___373261_1","group_5261","K03841","Organismal Systems"," Endocrine system","  04910 Insulin signaling pathway [PATH:ko04910]","fructose-1,6-bisphosphatase I","FBP, fbp"
"PROKKA_02461___143028_1","group_21051","K00134","Environmental Information Processing"," Signal transduction","  04066 HIF-1 signaling pathway [PATH:ko04066]","glyceraldehyde 3-phosphate dehydrogenase","GAPDH, gapA"
"PROKKA_02461___143028_1","group_21051","K00134","Metabolism"," Carbohydrate metabolism","  00010 Glycolysis / Gluconeogenesis [PATH:ko00010]","glyceraldehyde 3-phosphate dehydrogenase","GAPDH, gapA"
"PROKKA_02461___143028_1","group_21051","K00134","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","glyceraldehyde 3-phosphate dehydrogenase","GAPDH, gapA"
"PROKKA_02461___143028_1","group_21051","K00134","Metabolism"," Energy metabolism","  00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]","glyceraldehyde 3-phosphate dehydrogenase","GAPDH, gapA"
"PROKKA_02461___143028_1","group_21051","K00134","Human Diseases"," Neurodegenerative diseases","  05010 Alzheimer's disease [PATH:ko05010]","glyceraldehyde 3-phosphate dehydrogenase","GAPDH, gapA"
"PROKKA_02461___143028_1","group_21051","K00134","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","glyceraldehyde 3-phosphate dehydrogenase","GAPDH, gapA"
"PROKKA_02461___214348_1","group_10650","K01808","Metabolism"," Carbohydrate metabolism","  00030 Pentose phosphate pathway [PATH:ko00030]","ribose 5-phosphate isomerase B","rpiB"
"PROKKA_02461___214348_1","group_10650","K01808","Metabolism"," Energy metabolism","  00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]","ribose 5-phosphate isomerase B","rpiB"
"PROKKA_02461___214348_1","group_10650","K01808","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","ribose 5-phosphate isomerase B","rpiB"
"PROKKA_02461___214348_1","group_10650","K01808","Metabolism"," Carbohydrate metabolism","  00051 Fructose and mannose metabolism [PATH:ko00051]","ribose 5-phosphate isomerase B","rpiB"
"PROKKA_02461___214348_1","group_10650","K01808","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","ribose 5-phosphate isomerase B","rpiB"
"PROKKA_02462___143030_1","tktA","K00615","Metabolism"," Carbohydrate metabolism","  00030 Pentose phosphate pathway [PATH:ko00030]","transketolase","E2.2.1.1, tktA, tktB"
"PROKKA_02462___143030_1","tktA","K00615","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","transketolase","E2.2.1.1, tktA, tktB"
"PROKKA_02462___143030_1","tktA","K00615","Metabolism"," Metabolism of terpenoids and polyketides","  01051 Biosynthesis of ansamycins [PATH:ko01051]","transketolase","E2.2.1.1, tktA, tktB"
"PROKKA_02462___143030_1","tktA","K00615","Metabolism"," Energy metabolism","  00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]","transketolase","E2.2.1.1, tktA, tktB"
"PROKKA_02462___143030_1","tktA","K00615","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","transketolase","E2.2.1.1, tktA, tktB"
"PROKKA_02462___349442_1","group_3894","K11755","Metabolism"," Amino acid metabolism","  00340 Histidine metabolism [PATH:ko00340]","phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase","hisIE"
"PROKKA_02462___349442_1","group_3894","K11755","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase","hisIE"
"PROKKA_02462___373265_1","group_7896","K01874","Metabolism"," Metabolism of other amino acids","  00460 Cyanoamino acid metabolism [PATH:ko00460]","methionyl-tRNA synthetase","MARS, metG"
"PROKKA_02462___373265_1","group_7896","K01874","Genetic Information Processing"," Translation","  00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]","methionyl-tRNA synthetase","MARS, metG"
"PROKKA_02462___373265_1","group_7896","K01874","Metabolism"," Metabolism of other amino acids","  00450 Selenocompound metabolism [PATH:ko00450]","methionyl-tRNA synthetase","MARS, metG"
"PROKKA_02463___214352_1","apt_2","K00759","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","adenine phosphoribosyltransferase","APRT, apt"
"PROKKA_02464___349446_1","group_28414","K00826","Metabolism"," Amino acid metabolism","  00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]","branched-chain amino acid aminotransferase","E2.6.1.42, ilvE"
"PROKKA_02464___349446_1","group_28414","K00826","Metabolism"," Amino acid metabolism","  00280 Valine, leucine and isoleucine degradation [PATH:ko00280]","branched-chain amino acid aminotransferase","E2.6.1.42, ilvE"
"PROKKA_02464___349446_1","group_28414","K00826","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","branched-chain amino acid aminotransferase","E2.6.1.42, ilvE"
"PROKKA_02464___349446_1","group_28414","K00826","Metabolism"," Amino acid metabolism","  00270 Cysteine and methionine metabolism [PATH:ko00270]","branched-chain amino acid aminotransferase","E2.6.1.42, ilvE"
"PROKKA_02464___349446_1","group_28414","K00826","Metabolism"," Metabolism of cofactors and vitamins","  00770 Pantothenate and CoA biosynthesis [PATH:ko00770]","branched-chain amino acid aminotransferase","E2.6.1.42, ilvE"
"PROKKA_02464___349446_1","group_28414","K00826","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","branched-chain amino acid aminotransferase","E2.6.1.42, ilvE"
"PROKKA_02464___357146_1","group_4398","K01918","Metabolism"," Metabolism of cofactors and vitamins","  00770 Pantothenate and CoA biosynthesis [PATH:ko00770]","pantoate--beta-alanine ligase","panC"
"PROKKA_02464___357146_1","group_4398","K01918","Metabolism"," Metabolism of other amino acids","  00410 beta-Alanine metabolism [PATH:ko00410]","pantoate--beta-alanine ligase","panC"
"PROKKA_02464___373269_1","group_15847","K05601","Metabolism"," Energy metabolism","  00910 Nitrogen metabolism [PATH:ko00910]","hydroxylamine reductase","hcp"
"PROKKA_02465___214356_1","group_2204","K01255","Metabolism"," Metabolism of other amino acids","  00480 Glutathione metabolism [PATH:ko00480]","leucyl aminopeptidase","CARP, pepA"
"PROKKA_02465___349448_1","group_8930","K03673","Human Diseases"," Drug resistance","  01503 Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]","thiol:disulfide interchange protein DsbA","dsbA"
"PROKKA_02465___365387_1","group_5437","K00788","Metabolism"," Metabolism of cofactors and vitamins","  00730 Thiamine metabolism [PATH:ko00730]","thiamine-phosphate pyrophosphorylase","thiE"
"PROKKA_02466___365389_1","group_16166","K03075","Environmental Information Processing"," Membrane transport","  03070 Bacterial secretion system [PATH:ko03070]","preprotein translocase subunit SecG","secG"
"PROKKA_02466___365389_1","group_16166","K03075","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","preprotein translocase subunit SecG","secG"
"PROKKA_02466___365389_1","group_16166","K03075","Genetic Information Processing"," Folding, sorting and degradation","  03060 Protein export [PATH:ko03060]","preprotein translocase subunit SecG","secG"
"PROKKA_02466___373273_1","queC_2","K06920","Metabolism"," Metabolism of cofactors and vitamins","  00790 Folate biosynthesis [PATH:ko00790]","7-cyano-7-deazaguanine synthase","queC"
"PROKKA_02467___214360_1","group_6262","K01613","Metabolism"," Lipid metabolism","  00564 Glycerophospholipid metabolism [PATH:ko00564]","phosphatidylserine decarboxylase","psd, PISD"
"PROKKA_02467___349452_1","group_4721","K01821","Metabolism"," Xenobiotics biodegradation and metabolism","  00621 Dioxin degradation [PATH:ko00621]","4-oxalocrotonate tautomerase","praC, xylH"
"PROKKA_02467___349452_1","group_4721","K01821","Metabolism"," Xenobiotics biodegradation and metabolism","  00622 Xylene degradation [PATH:ko00622]","4-oxalocrotonate tautomerase","praC, xylH"
"PROKKA_02467___349452_1","group_4721","K01821","Metabolism"," Xenobiotics biodegradation and metabolism","  00362 Benzoate degradation [PATH:ko00362]","4-oxalocrotonate tautomerase","praC, xylH"
"PROKKA_02467___349452_1","group_4721","K01821","Metabolism"," Overview","  01220 Degradation of aromatic compounds [PATH:ko01220]","4-oxalocrotonate tautomerase","praC, xylH"
"PROKKA_02469___373279_1","group_7417","K04561","Metabolism"," Energy metabolism","  00910 Nitrogen metabolism [PATH:ko00910]","nitric oxide reductase subunit B","norB"
"PROKKA_02470___143046_1","coaD_2","K00954","Metabolism"," Metabolism of cofactors and vitamins","  00770 Pantothenate and CoA biosynthesis [PATH:ko00770]","pantetheine-phosphate adenylyltransferase","E2.7.7.3A, coaD, kdtB"
"PROKKA_02470___349458_1","appA_2","K02035","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","peptide/nickel transport system substrate-binding protein","ABC.PE.S"
"PROKKA_02470___365397_1","group_3430","K03470","Genetic Information Processing"," Replication and repair","  03030 DNA replication [PATH:ko03030]","ribonuclease HII","rnhB"
"PROKKA_02470___373281_1","group_3678","K02016","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","iron complex transport system substrate-binding protein","ABC.FEV.S"
"PROKKA_02471___349460_1","group_3646","K02033","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","peptide/nickel transport system permease protein","ABC.PE.P"
"PROKKA_02471___373283_1","group_4351","K02015","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","iron complex transport system permease protein","ABC.FEV.P"
"PROKKA_02472___143050_1","group_21062","K03110","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","fused signal recognition particle receptor","ftsY"
"PROKKA_02472___143050_1","group_21062","K03110","Environmental Information Processing"," Membrane transport","  03070 Bacterial secretion system [PATH:ko03070]","fused signal recognition particle receptor","ftsY"
"PROKKA_02472___143050_1","group_21062","K03110","Genetic Information Processing"," Folding, sorting and degradation","  03060 Protein export [PATH:ko03060]","fused signal recognition particle receptor","ftsY"
"PROKKA_02472___349462_1","group_3641","K02034","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","peptide/nickel transport system permease protein","ABC.PE.P1"
